Publication Years	Record Count	% of 1,253
2025	48	3.831
2024	95	7.582
2023	80	6.385
2022	78	6.225
2021	76	6.065
2020	57	4.549
2019	57	4.549
2018	57	4.549
2017	53	4.230
2016	38	3.033
2015	34	2.713
2014	44	3.512
2013	36	2.873
2012	32	2.554
2011	26	2.075
2010	36	2.873
2009	24	1.915
2008	23	1.836
2007	18	1.437
2006	17	1.357
2005	11	0.878
2004	13	1.038
2003	19	1.516
2002	11	0.878
2001	23	1.836
2000	9	0.718
1999	31	2.474
1998	22	1.756
1997	27	2.155
1996	13	1.038
1995	19	1.516
1994	14	1.117
1993	16	1.277
1992	9	0.718
1991	6	0.479
1990	11	0.878
1989	2	0.160
1988	3	0.239
1987	3	0.239
1986	11	0.878
1985	6	0.479
1984	8	0.638
1983	1	0.080
1982	5	0.399
1981	6	0.479
1980	4	0.319
1979	1	0.080
1978	2	0.160
1967	1	0.080
1966	2	0.160
1964	1	0.080
1962	3	0.239
1961	1	0.080
1959	1	0.080
1958	1	0.080
1954	1	0.080
1950	1	0.080
1933	1	0.080
1929	1	0.080
1928	1	0.080
1926	1	0.080
1912	1	0.080
1907	1	0.080
