Publication Years	Record Count	% of 410
2025	18	4.390
2024	41	10.000
2023	40	9.756
2022	30	7.317
2021	24	5.854
2020	27	6.585
2019	19	4.634
2018	26	6.341
2017	20	4.878
2016	17	4.146
2015	14	3.415
2014	15	3.659
2013	13	3.171
2012	9	2.195
2011	5	1.220
2010	15	3.659
2009	6	1.463
2008	6	1.463
2007	6	1.463
2006	8	1.951
2005	3	0.732
2004	2	0.488
2003	7	1.707
2002	4	0.976
2001	5	1.220
2000	2	0.488
1999	4	0.976
1998	1	0.244
1997	4	0.976
1996	4	0.976
1995	4	0.976
1994	1	0.244
1993	2	0.488
1990	3	0.732
1989	1	0.244
1986	1	0.244
1984	1	0.244
1980	1	0.244
1966	1	0.244
