Publication Years	Record Count	% of 11,371
2025	254	2.234
2024	692	6.086
2023	622	5.470
2022	636	5.593
2021	674	5.927
2020	600	5.277
2019	607	5.338
2018	540	4.749
2017	487	4.283
2016	536	4.714
2015	494	4.344
2014	418	3.676
2013	401	3.527
2012	374	3.289
2011	321	2.823
2010	286	2.515
2009	295	2.594
2008	238	2.093
2007	203	1.785
2006	200	1.759
2005	201	1.768
2004	189	1.662
2003	175	1.539
2002	151	1.328
2001	167	1.469
2000	141	1.240
1999	157	1.381
1998	160	1.407
1997	133	1.170
1996	117	1.029
1995	104	0.915
1994	93	0.818
1993	99	0.871
1992	87	0.765
1991	99	0.871
1990	42	0.369
1989	29	0.255
1988	26	0.229
1987	29	0.255
1986	22	0.193
1985	21	0.185
1984	24	0.211
1983	22	0.193
1982	26	0.229
1981	29	0.255
1980	34	0.299
1979	22	0.193
1978	20	0.176
1977	16	0.141
1976	6	0.053
1975	6	0.053
1974	6	0.053
1973	3	0.026
1972	1	0.009
1970	1	0.009
1967	1	0.009
1966	3	0.026
1965	1	0.009
1964	3	0.026
1963	3	0.026
1962	1	0.009
1961	1	0.009
1960	2	0.018
1957	1	0.009
1956	4	0.035
1955	1	0.009
1954	2	0.018
1953	1	0.009
1952	1	0.009
1951	4	0.035
1946	1	0.009
1942	1	0.009
1941	1	0.009
1938	1	0.009
1933	1	0.009
1927	1	0.009
