Publication Years	Record Count	% of 11,451
2025	331	2.891
2024	694	6.061
2023	622	5.432
2022	637	5.563
2021	674	5.886
2020	600	5.240
2019	607	5.301
2018	540	4.716
2017	487	4.253
2016	536	4.681
2015	494	4.314
2014	418	3.650
2013	401	3.502
2012	374	3.266
2011	321	2.803
2010	286	2.498
2009	295	2.576
2008	238	2.078
2007	203	1.773
2006	200	1.747
2005	201	1.755
2004	189	1.651
2003	175	1.528
2002	151	1.319
2001	167	1.458
2000	141	1.231
1999	157	1.371
1998	160	1.397
1997	133	1.161
1996	117	1.022
1995	104	0.908
1994	93	0.812
1993	99	0.865
1992	87	0.760
1991	99	0.865
1990	42	0.367
1989	29	0.253
1988	26	0.227
1987	29	0.253
1986	22	0.192
1985	21	0.183
1984	24	0.210
1983	22	0.192
1982	26	0.227
1981	29	0.253
1980	34	0.297
1979	22	0.192
1978	20	0.175
1977	16	0.140
1976	6	0.052
1975	6	0.052
1974	6	0.052
1973	3	0.026
1972	1	0.009
1970	1	0.009
1967	1	0.009
1966	3	0.026
1965	1	0.009
1964	3	0.026
1963	3	0.026
1962	1	0.009
1961	1	0.009
1960	2	0.017
1957	1	0.009
1956	4	0.035
1955	1	0.009
1954	2	0.017
1953	1	0.009
1952	1	0.009
1951	4	0.035
1946	1	0.009
1942	1	0.009
1941	1	0.009
1938	1	0.009
1933	1	0.009
1927	1	0.009
