Publication Years	Record Count	% of 35,938
2025	1140	3.172
2024	2612	7.268
2023	2420	6.734
2022	2537	7.059
2021	2431	6.764
2020	2169	6.035
2019	2059	5.729
2018	1826	5.081
2017	1766	4.914
2016	1624	4.519
2015	1455	4.049
2014	1351	3.759
2013	1308	3.640
2012	1112	3.094
2011	1012	2.816
2010	821	2.284
2009	864	2.404
2008	706	1.964
2007	638	1.775
2006	567	1.578
2005	513	1.427
2004	444	1.235
2003	443	1.233
2002	401	1.116
2001	385	1.071
2000	383	1.066
1999	343	0.954
1998	368	1.024
1997	322	0.896
1996	271	0.754
1995	250	0.696
1994	206	0.573
1993	214	0.595
1992	169	0.470
1991	148	0.412
1990	58	0.161
1989	32	0.089
1988	37	0.103
1987	29	0.081
1986	59	0.164
1985	41	0.114
1984	24	0.067
1983	23	0.064
1982	34	0.095
1981	24	0.067
1980	22	0.061
1979	32	0.089
1978	17	0.047
1977	19	0.053
1976	14	0.039
1975	8	0.022
1974	2	0.006
1973	1	0.003
1972	1	0.003
1971	3	0.008
1970	1	0.003
1969	4	0.011
1968	7	0.019
1967	6	0.017
1966	14	0.039
1965	7	0.019
1964	7	0.019
1963	9	0.025
1962	5	0.014
1961	4	0.011
1960	6	0.017
1959	3	0.008
1958	3	0.008
1957	3	0.008
1956	2	0.006
1955	5	0.014
1954	1	0.003
1953	2	0.006
1952	6	0.017
1951	9	0.025
1950	7	0.019
1949	5	0.014
1948	2	0.006
1947	2	0.006
1946	2	0.006
1945	2	0.006
1944	2	0.006
1943	1	0.003
1942	5	0.014
1941	6	0.017
1940	2	0.006
1939	2	0.006
1937	2	0.006
1936	1	0.003
1935	4	0.011
1934	5	0.014
1933	3	0.008
1932	2	0.006
1931	2	0.006
1930	2	0.006
1929	4	0.011
1928	1	0.003
1927	6	0.017
1926	6	0.017
