Publication Years	Record Count	% of 36,002
2026	1	0.003
2025	1412	3.922
2024	2608	7.244
2023	2410	6.694
2022	2523	7.008
2021	2420	6.722
2020	2161	6.002
2019	2047	5.686
2018	1821	5.058
2017	1760	4.889
2016	1620	4.500
2015	1451	4.030
2014	1343	3.730
2013	1306	3.628
2012	1108	3.078
2011	1002	2.783
2010	816	2.267
2009	861	2.392
2008	700	1.944
2007	635	1.764
2006	562	1.561
2005	509	1.414
2004	444	1.233
2003	443	1.230
2002	398	1.105
2001	384	1.067
2000	379	1.053
1999	339	0.942
1998	366	1.017
1997	320	0.889
1996	268	0.744
1995	244	0.678
1994	200	0.556
1993	210	0.583
1992	164	0.456
1991	141	0.392
1990	56	0.156
1989	32	0.089
1988	34	0.094
1987	27	0.075
1986	58	0.161
1985	37	0.103
1984	23	0.064
1983	22	0.061
1982	34	0.094
1981	21	0.058
1980	21	0.058
1979	31	0.086
1978	16	0.044
1977	18	0.050
1976	12	0.033
1975	6	0.017
1974	1	0.003
1973	1	0.003
1972	1	0.003
1971	2	0.006
1970	1	0.003
1969	4	0.011
1968	6	0.017
1967	6	0.017
1966	13	0.036
1965	7	0.019
1964	7	0.019
1963	8	0.022
1962	5	0.014
1961	4	0.011
1960	5	0.014
1959	3	0.008
1958	3	0.008
1957	2	0.006
1956	2	0.006
1955	5	0.014
1954	1	0.003
1953	2	0.006
1952	6	0.017
1951	9	0.025
1950	7	0.019
1949	3	0.008
1948	2	0.006
1947	2	0.006
1946	2	0.006
1945	2	0.006
1944	2	0.006
1943	1	0.003
1942	5	0.014
1941	6	0.017
1940	2	0.006
1939	2	0.006
1937	2	0.006
1936	1	0.003
1935	4	0.011
1934	5	0.014
1933	3	0.008
1932	2	0.006
1931	2	0.006
1930	2	0.006
1929	4	0.011
1928	1	0.003
1927	6	0.017
1926	6	0.017
